tool,test_case_id,state_index,instruction,opcode,initial_state_json,expected_outcome,actual_outcome,expected_exception,actual_exception,expected_state_json,actual_state_json,diff_json,ignored_flags,mismatch_reason
wazabin,4644,0,f2xm1,d9f0,"{""x87_control"":""0x37f"",""x87_dp"":""0x33334444"",""x87_ip"":""0x11112222"",""x87_opcode"":""0x111"",""x87_r0"":""00000000000000000000"",""x87_r1"":""00000000000000000000"",""x87_r2"":""0000000000000080ff3f"",""x87_r3"":""0000000000000080ffbf"",""x87_r4"":""0000000000000080fe3f"",""x87_r5"":""00000000000000800040"",""x87_r6"":""01000000000000000000"",""x87_r7"":""0000000000000080ff7f"",""x87_status"":""0x0"",""x87_tag"":""0xff""}",normal,unsupported,,,"{""flag"":{""AF"":0,""CF"":0,""DF"":0,""OF"":0,""PF"":0,""SF"":0,""ZF"":0},""rdx"":""0x0"",""x87_control"":""0x37f"",""x87_dp"":""0x33334444"",""x87_ip"":""0x666666660ffe"",""x87_opcode"":""0x111"",""x87_r0"":""00000000000000000000"",""x87_r1"":""00000000000000000000"",""x87_r2"":""0000000000000080ff3f"",""x87_r3"":""0000000000000080ffbf"",""x87_r4"":""0000000000000080fe3f"",""x87_r5"":""00000000000000800040"",""x87_r6"":""01000000000000000000"",""x87_r7"":""0000000000000080ff7f"",""x87_status"":""0x0"",""x87_tag"":""0xff""}",null,"{""unsupported_pcode_op"":""f2xm1""}",,unsupported
wazabin,4776,0,fcos,d9ff,"{""x87_control"":""0x37f"",""x87_dp"":""0x33334444"",""x87_ip"":""0x11112222"",""x87_opcode"":""0x111"",""x87_r0"":""00000000000000000000"",""x87_r1"":""00000000000000000000"",""x87_r2"":""0000000000000080ff3f"",""x87_r3"":""0000000000000080ffbf"",""x87_r4"":""0000000000000080fe3f"",""x87_r5"":""00000000000000800040"",""x87_r6"":""01000000000000000000"",""x87_r7"":""0000000000000080ff7f"",""x87_status"":""0x0"",""x87_tag"":""0xff""}",normal,unsupported,,,"{""flag"":{""AF"":0,""CF"":0,""DF"":0,""OF"":0,""PF"":0,""SF"":0,""ZF"":0},""rdx"":""0x0"",""x87_control"":""0x37f"",""x87_dp"":""0x33334444"",""x87_ip"":""0x666666660ffe"",""x87_opcode"":""0x111"",""x87_r0"":""0000000000000080ff3f"",""x87_r1"":""00000000000000000000"",""x87_r2"":""0000000000000080ff3f"",""x87_r3"":""0000000000000080ffbf"",""x87_r4"":""0000000000000080fe3f"",""x87_r5"":""00000000000000800040"",""x87_r6"":""01000000000000000000"",""x87_r7"":""0000000000000080ff7f"",""x87_status"":""0x0"",""x87_tag"":""0xff""}",null,"{""unsupported_pcode_op"":""fcos""}",,unsupported
wazabin,5006,0,fpatan,d9f3,"{""x87_control"":""0x37f"",""x87_dp"":""0x33334444"",""x87_ip"":""0x11112222"",""x87_opcode"":""0x111"",""x87_r0"":""00000000000000000000"",""x87_r1"":""00000000000000000000"",""x87_r2"":""0000000000000080ff3f"",""x87_r3"":""0000000000000080ffbf"",""x87_r4"":""0000000000000080fe3f"",""x87_r5"":""00000000000000800040"",""x87_r6"":""01000000000000000000"",""x87_r7"":""0000000000000080ff7f"",""x87_status"":""0x0"",""x87_tag"":""0xff""}",normal,unsupported,,,"{""flag"":{""AF"":0,""CF"":0,""DF"":0,""OF"":0,""PF"":0,""SF"":0,""ZF"":0},""rdx"":""0x0"",""x87_control"":""0x37f"",""x87_dp"":""0x33334444"",""x87_ip"":""0x666666660ffe"",""x87_opcode"":""0x111"",""x87_r0"":""00000000000000000000"",""x87_r1"":""00000000000000000000"",""x87_r2"":""0000000000000080ff3f"",""x87_r3"":""0000000000000080ffbf"",""x87_r4"":""0000000000000080fe3f"",""x87_r5"":""00000000000000800040"",""x87_r6"":""01000000000000000000"",""x87_r7"":""0000000000000080ff7f"",""x87_status"":""0x800"",""x87_tag"":""0xfe""}",null,"{""unsupported_pcode_op"":""fpatan""}",,unsupported
wazabin,5009,0,fptan,d9f2,"{""x87_control"":""0x37f"",""x87_dp"":""0x33334444"",""x87_ip"":""0x11112222"",""x87_opcode"":""0x111"",""x87_r0"":""00000000000000000000"",""x87_r1"":""00000000000000000000"",""x87_r2"":""0000000000000080ff3f"",""x87_r3"":""0000000000000080ffbf"",""x87_r4"":""0000000000000080fe3f"",""x87_r5"":""00000000000000800040"",""x87_r6"":""01000000000000000000"",""x87_r7"":""0000000000000080ff7f"",""x87_status"":""0x0"",""x87_tag"":""0x7f""}",normal,unsupported,,,"{""flag"":{""AF"":0,""CF"":0,""DF"":0,""OF"":0,""PF"":0,""SF"":0,""ZF"":0},""rdx"":""0x0"",""x87_control"":""0x37f"",""x87_dp"":""0x33334444"",""x87_ip"":""0x666666660ffe"",""x87_opcode"":""0x111"",""x87_r0"":""00000000000000000000"",""x87_r1"":""00000000000000000000"",""x87_r2"":""0000000000000080ff3f"",""x87_r3"":""0000000000000080ffbf"",""x87_r4"":""0000000000000080fe3f"",""x87_r5"":""00000000000000800040"",""x87_r6"":""01000000000000000000"",""x87_r7"":""0000000000000080ff3f"",""x87_status"":""0x3800"",""x87_tag"":""0xff""}",null,"{""unsupported_pcode_op"":""fptan""}",,unsupported
wazabin,5013,1538,fscale,d9fd,"{""x87_control"":""0x340"",""x87_dp"":""0x33334444"",""x87_ip"":""0x11112222"",""x87_opcode"":""0x111"",""x87_r0"":""fffffffffffffffffe7f"",""x87_r1"":""0000000000000080ff3f"",""x87_r2"":""0000000000000080ff3f"",""x87_r3"":""0000000000000080ffbf"",""x87_r4"":""0000000000000080fe3f"",""x87_r5"":""00000000000000800040"",""x87_r6"":""01000000000000000000"",""x87_r7"":""0000000000000080ff7f"",""x87_status"":""0x0"",""x87_tag"":""0xff""}",normal,normal,,,"{""flag"":{""AF"":0,""CF"":0,""DF"":0,""OF"":0,""PF"":0,""SF"":0,""ZF"":0},""rdx"":""0x0"",""x87_control"":""0x340"",""x87_dp"":""0x33334444"",""x87_ip"":""0x666666660ffe"",""x87_opcode"":""0x1fd"",""x87_r0"":""ffffffffffffffffff1f"",""x87_r1"":""0000000000000080ff3f"",""x87_r2"":""0000000000000080ff3f"",""x87_r3"":""0000000000000080ffbf"",""x87_r4"":""0000000000000080fe3f"",""x87_r5"":""00000000000000800040"",""x87_r6"":""01000000000000000000"",""x87_r7"":""0000000000000080ff7f"",""x87_status"":""0x8088"",""x87_tag"":""0xff""}","{""flag"":{""AF"":0,""CF"":0,""DF"":0,""OF"":0,""PF"":0,""SF"":0,""ZF"":0},""mm0"":""0x8000000000000000"",""mm1"":""0x8000000000000000"",""mm2"":""0x8000000000000000"",""mm3"":""0x8000000000000000"",""mm4"":""0x8000000000000000"",""mm5"":""0x8000000000000000"",""mm6"":""0x1"",""mm7"":""0x8000000000000000"",""r8"":""0x0"",""r9"":""0x0"",""rax"":""0x0"",""rbp"":""0x0"",""rbx"":""0x0"",""rcx"":""0x0"",""rdi"":""0x0"",""rdx"":""0x0"",""rip"":""0x666666661000"",""rsi"":""0x0"",""rsp"":""0x0"",""x87_control"":""0x340"",""x87_dp"":""0x33334444"",""x87_ip"":""0x666666660ffe"",""x87_opcode"":""0x1fd"",""x87_r0"":""0000000000000080ff7f"",""x87_r1"":""0000000000000080ff3f"",""x87_r2"":""0000000000000080ff3f"",""x87_r3"":""0000000000000080ffbf"",""x87_r4"":""0000000000000080fe3f"",""x87_r5"":""00000000000000800040"",""x87_r6"":""01000000000000000000"",""x87_r7"":""0000000000000080ff7f"",""x87_status"":""0x82a8"",""x87_tag"":""0xff"",""x87_top"":""0x0""}","{""x87_status"":{""actual"":""0x82a8"",""expected"":""0x8088""}}",,state_mismatch
wazabin,5014,0,fsin,d9fe,"{""x87_control"":""0x37f"",""x87_dp"":""0x33334444"",""x87_ip"":""0x11112222"",""x87_opcode"":""0x111"",""x87_r0"":""00000000000000000000"",""x87_r1"":""00000000000000000000"",""x87_r2"":""0000000000000080ff3f"",""x87_r3"":""0000000000000080ffbf"",""x87_r4"":""0000000000000080fe3f"",""x87_r5"":""00000000000000800040"",""x87_r6"":""01000000000000000000"",""x87_r7"":""0000000000000080ff7f"",""x87_status"":""0x0"",""x87_tag"":""0xff""}",normal,unsupported,,,"{""flag"":{""AF"":0,""CF"":0,""DF"":0,""OF"":0,""PF"":0,""SF"":0,""ZF"":0},""rdx"":""0x0"",""x87_control"":""0x37f"",""x87_dp"":""0x33334444"",""x87_ip"":""0x666666660ffe"",""x87_opcode"":""0x111"",""x87_r0"":""00000000000000000000"",""x87_r1"":""00000000000000000000"",""x87_r2"":""0000000000000080ff3f"",""x87_r3"":""0000000000000080ffbf"",""x87_r4"":""0000000000000080fe3f"",""x87_r5"":""00000000000000800040"",""x87_r6"":""01000000000000000000"",""x87_r7"":""0000000000000080ff7f"",""x87_status"":""0x0"",""x87_tag"":""0xff""}",null,"{""unsupported_pcode_op"":""fsin""}",,unsupported
wazabin,5015,0,fsincos,d9fb,"{""x87_control"":""0x37f"",""x87_dp"":""0x33334444"",""x87_ip"":""0x11112222"",""x87_opcode"":""0x111"",""x87_r0"":""00000000000000000000"",""x87_r1"":""00000000000000000000"",""x87_r2"":""0000000000000080ff3f"",""x87_r3"":""0000000000000080ffbf"",""x87_r4"":""0000000000000080fe3f"",""x87_r5"":""00000000000000800040"",""x87_r6"":""01000000000000000000"",""x87_r7"":""0000000000000080ff7f"",""x87_status"":""0x0"",""x87_tag"":""0x7f""}",normal,unsupported,,,"{""flag"":{""AF"":0,""CF"":0,""DF"":0,""OF"":0,""PF"":0,""SF"":0,""ZF"":0},""rdx"":""0x0"",""x87_control"":""0x37f"",""x87_dp"":""0x33334444"",""x87_ip"":""0x666666660ffe"",""x87_opcode"":""0x111"",""x87_r0"":""00000000000000000000"",""x87_r1"":""00000000000000000000"",""x87_r2"":""0000000000000080ff3f"",""x87_r3"":""0000000000000080ffbf"",""x87_r4"":""0000000000000080fe3f"",""x87_r5"":""00000000000000800040"",""x87_r6"":""01000000000000000000"",""x87_r7"":""0000000000000080ff3f"",""x87_status"":""0x3800"",""x87_tag"":""0xff""}",null,"{""unsupported_pcode_op"":""fcos""}",,unsupported
wazabin,5165,459,fyl2x,d9f1,"{""x87_control"":""0x37f"",""x87_dp"":""0x33334444"",""x87_ip"":""0x11112222"",""x87_opcode"":""0x111"",""x87_r0"":""0000000000000080ffbf"",""x87_r1"":""00000000000000c0ff7f"",""x87_r2"":""0000000000000080ff3f"",""x87_r3"":""0000000000000080ffbf"",""x87_r4"":""0000000000000080fe3f"",""x87_r5"":""00000000000000800040"",""x87_r6"":""01000000000000000000"",""x87_r7"":""0000000000000080ff7f"",""x87_status"":""0x0"",""x87_tag"":""0xff""}",normal,normal,,,"{""flag"":{""AF"":0,""CF"":0,""DF"":0,""OF"":0,""PF"":0,""SF"":0,""ZF"":0},""rdx"":""0x0"",""x87_control"":""0x37f"",""x87_dp"":""0x33334444"",""x87_ip"":""0x666666660ffe"",""x87_opcode"":""0x111"",""x87_r0"":""0000000000000080ffbf"",""x87_r1"":""00000000000000c0ff7f"",""x87_r2"":""0000000000000080ff3f"",""x87_r3"":""0000000000000080ffbf"",""x87_r4"":""0000000000000080fe3f"",""x87_r5"":""00000000000000800040"",""x87_r6"":""01000000000000000000"",""x87_r7"":""0000000000000080ff7f"",""x87_status"":""0x800"",""x87_tag"":""0xfe""}","{""flag"":{""AF"":0,""CF"":0,""DF"":0,""OF"":0,""PF"":0,""SF"":0,""ZF"":0},""mm0"":""0x8000000000000000"",""mm1"":""0xc000000000000000"",""mm2"":""0x8000000000000000"",""mm3"":""0x8000000000000000"",""mm4"":""0x8000000000000000"",""mm5"":""0x8000000000000000"",""mm6"":""0x1"",""mm7"":""0x8000000000000000"",""r8"":""0x0"",""r9"":""0x0"",""rax"":""0x0"",""rbp"":""0x0"",""rbx"":""0x0"",""rcx"":""0x0"",""rdi"":""0x0"",""rdx"":""0x0"",""rip"":""0x666666661000"",""rsi"":""0x0"",""rsp"":""0x0"",""x87_control"":""0x37f"",""x87_dp"":""0x33334444"",""x87_ip"":""0x666666660ffe"",""x87_opcode"":""0x111"",""x87_r0"":""0000000000000080ffbf"",""x87_r1"":""00000000000000c0ff7f"",""x87_r2"":""0000000000000080ff3f"",""x87_r3"":""0000000000000080ffbf"",""x87_r4"":""0000000000000080fe3f"",""x87_r5"":""00000000000000800040"",""x87_r6"":""01000000000000000000"",""x87_r7"":""0000000000000080ff7f"",""x87_status"":""0x801"",""x87_tag"":""0xfe"",""x87_top"":""0x1""}","{""x87_status"":{""actual"":""0x801"",""expected"":""0x800""}}",,state_mismatch
wazabin,5166,306,fyl2xp1,d9f9,"{""x87_control"":""0x37f"",""x87_dp"":""0x33334444"",""x87_ip"":""0x11112222"",""x87_opcode"":""0x111"",""x87_r0"":""0000000000000080ff3f"",""x87_r1"":""01000000000000000000"",""x87_r2"":""0000000000000080ff3f"",""x87_r3"":""0000000000000080ffbf"",""x87_r4"":""0000000000000080fe3f"",""x87_r5"":""00000000000000800040"",""x87_r6"":""01000000000000000000"",""x87_r7"":""0000000000000080ff7f"",""x87_status"":""0x0"",""x87_tag"":""0xff""}",normal,normal,,,"{""flag"":{""AF"":0,""CF"":0,""DF"":0,""OF"":0,""PF"":0,""SF"":0,""ZF"":0},""rdx"":""0x0"",""x87_control"":""0x37f"",""x87_dp"":""0x33334444"",""x87_ip"":""0x666666660ffe"",""x87_opcode"":""0x111"",""x87_r0"":""0000000000000080ff3f"",""x87_r1"":""01000000000000000000"",""x87_r2"":""0000000000000080ff3f"",""x87_r3"":""0000000000000080ffbf"",""x87_r4"":""0000000000000080fe3f"",""x87_r5"":""00000000000000800040"",""x87_r6"":""01000000000000000000"",""x87_r7"":""0000000000000080ff7f"",""x87_status"":""0x832"",""x87_tag"":""0xfe""}","{""flag"":{""AF"":0,""CF"":0,""DF"":0,""OF"":0,""PF"":0,""SF"":0,""ZF"":0},""mm0"":""0x8000000000000000"",""mm1"":""0x1"",""mm2"":""0x8000000000000000"",""mm3"":""0x8000000000000000"",""mm4"":""0x8000000000000000"",""mm5"":""0x8000000000000000"",""mm6"":""0x1"",""mm7"":""0x8000000000000000"",""r8"":""0x0"",""r9"":""0x0"",""rax"":""0x0"",""rbp"":""0x0"",""rbx"":""0x0"",""rcx"":""0x0"",""rdi"":""0x0"",""rdx"":""0x0"",""rip"":""0x666666661000"",""rsi"":""0x0"",""rsp"":""0x0"",""x87_control"":""0x37f"",""x87_dp"":""0x33334444"",""x87_ip"":""0x666666660ffe"",""x87_opcode"":""0x111"",""x87_r0"":""0000000000000080ff3f"",""x87_r1"":""01000000000000000000"",""x87_r2"":""0000000000000080ff3f"",""x87_r3"":""0000000000000080ffbf"",""x87_r4"":""0000000000000080fe3f"",""x87_r5"":""00000000000000800040"",""x87_r6"":""01000000000000000000"",""x87_r7"":""0000000000000080ff7f"",""x87_status"":""0x822"",""x87_tag"":""0xfe"",""x87_top"":""0x1""}","{""x87_status"":{""actual"":""0x822"",""expected"":""0x832""}}",,state_mismatch
wazabin,4796,4559,fdiv qword ptr [r8 + 0x0],41dc30,"{""mem0_value"":""0x7fefffffffffffff"",""r8"":""0x666666010100"",""x87_control"":""0x27f"",""x87_dp"":""0x33334444"",""x87_ip"":""0x11112222"",""x87_opcode"":""0x111"",""x87_r0"":""0000000000000080ff3f"",""x87_r1"":""00000000000000000080"",""x87_r2"":""0000000000000080ff3f"",""x87_r3"":""0000000000000080ffbf"",""x87_r4"":""0000000000000080fe3f"",""x87_r5"":""00000000000000800040"",""x87_r6"":""01000000000000000000"",""x87_r7"":""0000000000000080ff7f"",""x87_status"":""0x0"",""x87_tag"":""0xff""}",normal,normal,,,"{""flag"":{""AF"":0,""CF"":0,""DF"":0,""OF"":0,""PF"":0,""SF"":0,""ZF"":0},""mem0_value"":""0x7fefffffffffffff"",""r8"":""0x666666010100"",""rdx"":""0x0"",""x87_control"":""0x27f"",""x87_dp"":""0x33334444"",""x87_ip"":""0x666666660ffd"",""x87_opcode"":""0x111"",""x87_r0"":""0008000000000080ff3b"",""x87_r1"":""00000000000000000080"",""x87_r2"":""0000000000000080ff3f"",""x87_r3"":""0000000000000080ffbf"",""x87_r4"":""0000000000000080fe3f"",""x87_r5"":""00000000000000800040"",""x87_r6"":""01000000000000000000"",""x87_r7"":""0000000000000080ff7f"",""x87_status"":""0x220"",""x87_tag"":""0xff""}","{""flag"":{""AF"":0,""CF"":0,""DF"":0,""OF"":0,""PF"":0,""SF"":0,""ZF"":0},""mem0_value"":""0x7fefffffffffffff"",""mm0"":""0x8000000000000000"",""mm1"":""0x0"",""mm2"":""0x8000000000000000"",""mm3"":""0x8000000000000000"",""mm4"":""0x8000000000000000"",""mm5"":""0x8000000000000000"",""mm6"":""0x1"",""mm7"":""0x8000000000000000"",""r8"":""0x666666010100"",""r9"":""0x0"",""rax"":""0x0"",""rbp"":""0x0"",""rbx"":""0x0"",""rcx"":""0x0"",""rdi"":""0x0"",""rdx"":""0x0"",""rip"":""0x666666661000"",""rsi"":""0x0"",""rsp"":""0x0"",""x87_control"":""0x27f"",""x87_dp"":""0x33334444"",""x87_ip"":""0x666666660ffd"",""x87_opcode"":""0x111"",""x87_r0"":""0000000000000080ff3b"",""x87_r1"":""00000000000000000080"",""x87_r2"":""0000000000000080ff3f"",""x87_r3"":""0000000000000080ffbf"",""x87_r4"":""0000000000000080fe3f"",""x87_r5"":""00000000000000800040"",""x87_r6"":""01000000000000000000"",""x87_r7"":""0000000000000080ff7f"",""x87_status"":""0x20"",""x87_tag"":""0xff"",""x87_top"":""0x0""}","{""x87_status"":{""actual"":""0x20"",""expected"":""0x220""}}",,state_mismatch
